Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  07:00:00,55661161.33714972,32549133.958144245,0.0,0.0,126954458.95359086,126954458.95359087,6791184.0 
 01/21  08:00:00,214479395.498939,2288820.1616923979,0.0,0.0,310701946.7614802,310701946.7614803,6791184.0 
 01/21  09:00:00,159147053.30596597,0.0,0.0,0.0,262396126.72113843,262396126.72113843,6791184.0 
 01/21  10:00:00,145025362.62465985,0.0,0.0,0.0,249891896.3168234,249891896.3168234,6791184.0 
 01/21  11:00:00,137647516.91521175,0.0,0.0,0.0,243366376.7565774,243366376.7565774,6791184.0 
 01/21  12:00:00,132358437.07721448,0.0,0.0,0.0,238623678.68063507,238623678.68063507,6791184.0 
 01/21  13:00:00,128350276.40331988,0.0,0.0,0.0,235023872.19306398,235023872.19306398,6791184.0 
 01/21  14:00:00,124939455.91772111,0.0,0.0,0.0,231952614.94055567,231952614.94055567,6791184.0 
 01/21  15:00:00,122000968.32368094,0.0,0.0,0.0,229321116.59310497,229321116.59310497,6791184.0 
 01/21  16:00:00,119331799.92365949,0.0,0.0,0.0,226935796.4304283,226935796.4304283,6791184.0 
 01/21  17:00:00,116766606.0822335,0.0,0.0,0.0,224633829.81455169,224633829.81455169,6791184.0 
 01/21  18:00:00,114747248.31839609,0.0,0.0,0.0,222860448.12960399,222860448.12960399,6791184.0 
 01/21  19:00:00,98261354.40810395,4315213.66233346,0.0,0.0,175027403.1785735,175027403.1785735,6791184.0 
 01/21  20:00:00,74732281.2768623,51578.54994123227,0.0,0.0,165311943.7010054,165311943.7010054,6791184.0 
 01/21  21:00:00,52417041.21666105,61397.69984181985,0.0,0.0,116976995.50194696,116976995.50194694,6791184.0 
 01/21  22:00:00,83305948.48304151,127821.81995729843,0.0,0.0,174549683.72505177,174549683.7250518,6791184.0 
 01/21  23:00:00,2336114.88337633,23642552.575083708,0.0,0.0,14052034.246372013,14052034.246372013,6791184.0 
 01/21  24:00:00,0.0,0.0,0.0,0.0,11497495.609756098,11497495.609756098,6791184.0 
 01/21  01:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  02:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  03:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  04:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  05:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  06:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  07:00:00,57995941.070617739,31633295.629830313,0.0,0.0,130491540.60614899,130491540.60614899,6791184.0 
 01/21  08:00:00,216871889.25998564,2200809.4431306088,0.0,0.0,314238345.0045271,314238345.0045271,6791184.0 
 01/21  09:00:00,160939984.64396698,0.0,0.0,0.0,265388221.24908556,265388221.24908559,6791184.0 
 01/21  10:00:00,146396392.52416478,0.0,0.0,0.0,252497645.9573377,252497645.9573377,6791184.0 
 01/21  11:00:00,138729438.35947628,0.0,0.0,0.0,245710154.79339449,245710154.79339449,6791184.0 
 01/21  12:00:00,133201442.16232066,0.0,0.0,0.0,240752886.03079225,240752886.03079225,6791184.0 
 01/21  13:00:00,128983081.55092697,0.0,0.0,0.0,236965827.7007988,236965827.7007988,6791184.0 
 01/21  14:00:00,125383005.56248719,0.0,0.0,0.0,233726919.9462403,233726919.9462403,6791184.0 
 01/21  15:00:00,122270289.37513112,0.0,0.0,0.0,230941878.76416705,230941878.76416705,6791184.0 
 01/21  16:00:00,119441774.32233536,0.0,0.0,0.0,228416794.72463916,228416794.72463916,6791184.0 
 01/21  17:00:00,116730683.16335784,0.0,0.0,0.0,225987415.1328441,225987415.1328441,6791184.0 
 01/21  18:00:00,114577520.40313334,0.0,0.0,0.0,224097672.07469205,224097672.07469205,6791184.0 
 01/21  19:00:00,102933847.4550147,4928499.25812479,0.0,0.0,183496019.27018199,183496019.27018199,6791184.0 
 01/21  20:00:00,83824523.44077814,43468.21649464418,0.0,0.0,174275393.27521528,174275393.27521525,6791184.0 
 01/21  21:00:00,58951451.4454282,55155.222033802056,0.0,0.0,123439160.30912805,123439160.30912805,6791184.0 
 01/21  22:00:00,94652723.92392585,116457.40975165808,0.0,0.0,185771676.36029873,185771676.36029873,6791184.0 
 01/21  23:00:00,2262162.6876151359,23662066.026299389,0.0,0.0,14052034.246372013,14052034.246372013,6791184.0 
 01/21  24:00:00,0.0,0.0,0.0,0.0,11497495.609756098,11497495.609756098,6791184.0 
 01/21  01:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  02:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  03:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  04:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  05:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  06:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  07:00:00,60244828.393040169,30561063.589053144,0.0,0.0,131360855.94371274,131360855.94371274,6791184.0 
 01/21  08:00:00,220608975.61943145,2197737.8108465808,0.0,0.0,315569898.4335519,315569898.4335519,6791184.0 
 01/21  09:00:00,164208505.9785191,0.0,0.0,0.0,266262247.6557879,266262247.6557879,6791184.0 
 01/21  10:00:00,149449429.2225861,0.0,0.0,0.0,253180089.82262475,253180089.82262475,6791184.0 
 01/21  11:00:00,141661459.11731569,0.0,0.0,0.0,246284431.59419153,246284431.59419153,6791184.0 
 01/21  12:00:00,136047030.77129445,0.0,0.0,0.0,241248691.08807645,241248691.08807645,6791184.0 
 01/21  13:00:00,131759171.57140833,0.0,0.0,0.0,237397897.29646296,237397897.29646299,6791184.0 
 01/21  14:00:00,128100084.48837136,0.0,0.0,0.0,234104611.24706898,234104611.24706898,6791184.0 
 01/21  15:00:00,124935489.389902,0.0,0.0,0.0,231271704.49175713,231271704.49175713,6791184.0 
 01/21  16:00:00,122061331.77655688,0.0,0.0,0.0,228704563.50324498,228704563.50324498,6791184.0 
 01/21  17:00:00,119309906.63626501,0.0,0.0,0.0,226238080.93080498,226238080.93080498,6791184.0 
 01/21  18:00:00,117120950.14502436,0.0,0.0,0.0,224315586.00427408,224315586.00427408,6791184.0 
 01/21  19:00:00,103748279.8400102,5033350.796698257,0.0,0.0,182845819.4739632,182845819.4739632,6791184.0 
 01/21  20:00:00,84367520.46203973,44439.384308260735,0.0,0.0,173213395.69383619,173213395.69383616,6791184.0 
 01/21  21:00:00,59256471.300088997,56237.83099636002,0.0,0.0,122671274.16896397,122671274.16896397,6791184.0 
 01/21  22:00:00,95090093.80883438,118759.27896371213,0.0,0.0,184597661.69281835,184597661.69281835,6791184.0 
 01/21  23:00:00,2302273.8216939,23180323.19177303,0.0,0.0,14052034.246372013,14052034.246372013,6791184.0 
 01/21  24:00:00,0.0,0.0,0.0,0.0,11497495.609756098,11497495.609756098,6791184.0 
 07/21  01:00:00,1893050.7541465876,219695329.40928985,152517470.7542746,224813060.55296705,474340592.4597803,474340592.4597803,6791184.0 
 07/21  02:00:00,1193339.925626008,223837189.77102817,152517470.7542746,224813060.55296705,474752764.61978217,474752764.6197822,6791184.0 
 07/21  03:00:00,1212557.660871366,155529500.31080879,152517470.7542746,224813060.55296705,447914049.29287776,447914049.29287776,6791184.0 
 07/21  04:00:00,2326667.809028264,242027594.51249043,152517470.7542746,224813060.55296705,478698098.7323561,478698098.732356,6791184.0 
 07/21  05:00:00,1151592.9042413075,231871721.27378948,152517470.7542746,224813060.55296705,474341934.7642148,474341934.76421478,6791184.0 
 07/21  06:00:00,1267777.6793105957,196514145.6001519,152517470.7542746,224813060.55296705,460336442.59501126,460336442.5950111,6791184.0 
 07/21  07:00:00,763087.6600394545,490262876.56751796,131886500.00307139,224813060.55296705,542462819.6638124,542462819.6638124,6791184.0 
