Date/Time,Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  06:00:00,2.4,0.0145891147909559,1324292.3050549383,193630355.96712543,152517470.7542746,224813060.55296705 
 07/21  07:00:00,2.4,56.34860986772071,825354.1065630515,480700060.48578837,131886500.00307139,224813060.55296705 
 07/21  08:00:00,2.4,231.85959147294114,0.0,637647388.0975907,119991185.40467142,224813060.55296705 
 07/21  09:00:00,2.4,375.607302565397,0.0,640348916.6060984,119991185.40467142,224813060.55296705 
 07/21  10:00:00,2.4,470.73042604296429,0.0,659983933.179098,119991185.40467142,224813060.55296705 
 07/21  11:00:00,2.4,529.8608859013466,0.0,667843071.0881306,119991185.40467142,224813060.55296705 
 07/21  12:00:00,2.4,561.7438609980454,0.0,663202831.6037045,119991185.40467142,224813060.55296705 
 07/21  13:00:00,2.4,570.8458267551066,0.0,655505579.3474574,119991185.40467142,224813060.55296705 
 07/21  14:00:00,2.4,558.4131747035665,0.0,666506478.5488837,119991185.40467142,224813060.55296705 
 07/21  15:00:00,2.4,522.7428547735229,0.0,679358593.812669,119991185.40467142,224813060.55296705 
 07/21  16:00:00,2.4,458.79708920135365,0.0,682659329.4756147,119991185.40467142,224813060.55296705 
 07/21  17:00:00,2.4,357.08032063725866,0.0,666195934.2055869,119991185.40467142,224813060.55296705 
 07/21  18:00:00,2.4,205.1994120596819,0.0,623242461.127903,120131322.63904399,224813060.55296705 
 07/21  19:00:00,2.4,36.8684596217668,0.0,562982427.0118022,136951668.73134173,224813060.55296705 
 07/21  20:00:00,2.4,0.0,0.0,527102969.3698111,152517470.7542746,224813060.55296705 
 07/21  21:00:00,2.4,0.0,0.0,507022447.21022936,152517470.7542746,224813060.55296705 
 07/21  22:00:00,2.4,0.0,0.0,492465051.41999956,152517470.7542746,224813060.55296705 
 07/21  23:00:00,2.4,0.0,3513544.5508759014,147284035.85568799,152517470.7542746,224813060.55296705 
 07/21  24:00:00,2.4,0.0,1996730.7953728256,168205497.3316656,152517470.7542746,224813060.55296705 
 07/21  01:00:00,2.4,0.0,1925079.7907378074,217720917.16164977,152517470.7542746,224813060.55296705 
 07/21  02:00:00,2.4,0.0,1208348.6687625354,221544889.67662198,152517470.7542746,224813060.55296705 
 07/21  03:00:00,2.4,0.0,1219370.2090650718,153348799.6669733,152517470.7542746,224813060.55296705 
 07/21  04:00:00,2.4,0.0,2846440.7406817779,235579940.8051182,152517470.7542746,224813060.55296705 
 07/21  05:00:00,2.4,0.0,1386240.7630671086,227821196.80504746,152517470.7542746,224813060.55296705 
 07/21  06:00:00,2.4,0.0145891147909559,1720483.124449253,186206633.08556725,152517470.7542746,224813060.55296705 
 07/21  07:00:00,2.4,56.34860986772071,886118.3228658119,454771650.1896316,131886500.00307139,224813060.55296705 
 07/21  08:00:00,2.4,231.85959147294114,0.0,630480012.7703656,119991185.40467142,224813060.55296705 
 07/21  09:00:00,2.4,375.607302565397,0.0,635057058.9310691,119991185.40467142,224813060.55296705 
 07/21  10:00:00,2.4,470.73042604296429,0.0,654076230.682571,119991185.40467142,224813060.55296705 
 07/21  11:00:00,2.4,529.8608859013466,0.0,661787560.0961344,119991185.40467142,224813060.55296705 
 07/21  12:00:00,2.4,561.7438609980454,0.0,657123292.1702576,119991185.40467142,224813060.55296705 
 07/21  13:00:00,2.4,570.8458267551066,0.0,649433431.7996378,119991185.40467142,224813060.55296705 
 07/21  14:00:00,2.4,558.4131747035665,0.0,660356887.0007422,119991185.40467142,224813060.55296705 
 07/21  15:00:00,2.4,522.7428547735229,0.0,673156712.5367658,119991185.40467142,224813060.55296705 
 07/21  16:00:00,2.4,458.79708920135365,0.0,676452014.6909751,119991185.40467142,224813060.55296705 
 07/21  17:00:00,2.4,357.08032063725866,0.0,660053090.7839443,119991185.40467142,224813060.55296705 
 07/21  18:00:00,2.4,205.1994120596819,0.0,617236009.4139046,120131322.63904399,224813060.55296705 
