Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  17:00:00,5526517.970022959,13755519.018149931,59790509.99128908,36405432.0 
 07/21  18:00:00,4626424.939792115,12074932.415885382,71562486.74439627,14265108.0 
 07/21  19:00:00,4210584.498803437,13027.536097405073,86240203.56941432,14265108.0 
 07/21  20:00:00,2931239.6330848189,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,1783919.445772684,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,501528.26525518178,10794.966693018068,87973618.99078352,14265108.0 
 07/21  23:00:00,0.0,648847.2963309859,87973618.99078352,14265108.0 
 07/21  24:00:00,0.0,1694755.2801680938,87973618.99078352,14265108.0 
 07/21  01:00:00,0.0,4063204.2727852144,87973618.99078352,14265108.0 
 07/21  02:00:00,0.0,4741694.837910226,87973618.99078352,14265108.0 
 07/21  03:00:00,0.0,5198635.682819339,87973618.99078352,14265108.0 
 07/21  04:00:00,0.0,5614134.647468099,87973618.99078352,14265108.0 
 07/21  05:00:00,0.0,5932207.755093881,87973618.99078352,14265108.0 
 07/21  06:00:00,0.0,5864571.925150182,87798374.58425924,14265108.0 
 07/21  07:00:00,0.0,5619529.694146958,76268555.21108711,14265108.0 
 07/21  08:00:00,0.0,4482045.107798217,60662029.98264762,14265108.0 
 07/21  09:00:00,0.0,12414439.761507117,51477300.867576319,36405432.0 
 07/21  10:00:00,1040684.7101983198,9704590.1301746,46820255.119036469,36405432.0 
 07/21  11:00:00,2857021.9283501065,10034584.0796745,45086619.219095777,36405432.0 
 07/21  12:00:00,4025717.1546754755,10484952.246529608,45026190.11339775,36405432.0 
 07/21  13:00:00,4926316.973190773,10638021.30575266,45026190.11339775,14265108.0 
 07/21  14:00:00,5590578.205581748,12084803.332864168,44784473.690605659,36405432.0 
 07/21  15:00:00,5802543.9488479089,13161418.655974132,45690010.36391195,36405432.0 
 07/21  16:00:00,5385136.739364203,13687703.677981757,49182794.67525414,36405432.0 
 07/21  17:00:00,4354495.023615972,13483234.262726158,59790509.99128908,36405432.0 
 07/21  18:00:00,3457747.0130829426,11810138.669421899,71562486.74439627,14265108.0 
